39,Ainara Legardon,,,Bilbo,"['Rocka', 'Esperimentala']",https://www.badok.eus/euskal-musika/ainara-legardon
40,Ainara Ortega,,1981,Hernani (Gipuzkoa),['Jazza'],https://www.badok.eus/euskal-musika/ainara-ortega
41,Aingeru Gorrotxategi,,1977,Donostia,['Pop-rocka'],https://www.badok.eus/euskal-musika/aingeru
42,Ainhoa Larrañaga,,2000,Hernani (Gipuzkoa),['Popa'],https://www.badok.eus/euskal-musika/ainhoa-larranaga
43,Aintzina,,2009,,['Folka'],https://www.badok.eus/euskal-musika/aintzina
44,Aire Ahizpak,,,,"['Herri', 'kanta']",https://www.badok.eus/euskal-musika/aire-ahizpak
45,Aitona Zittalak Band,,2018,Gasteiz,"['Folk-rocka', 'Rocka']",https://www.badok.eus/euskal-musika/aitona-zittalak-band
46,Aitor,"«Zergatik ez dituzu abestiak grabatzen?», galdetu zioten behin Aitor Huergori. Inoiz ez du bere burua musikaritzat hartu, baina estreineko lanak balio izan dio barruko paisaiak azaleratzeko. «Barruko paisaiak abesti bilduma xume eta soila dugu, sinpletasunak dakarren zailtasunez hornituta: ahotsa eta gitarra soilik, elkar nahasirik, fluxuan», kontatu du.",,,['Kantautorea'],https://www.badok.eus/euskal-musika/aitor
47,Aitor Badiola,,1949,Donostia,['Popa'],https://www.badok.eus/euskal-musika/aitor-badiola
48,Aitor Etxebarria,,1985,Gernika (Bizkaia),"['Elektronikoa', 'Esperimentala', 'Soinu-banda']",https://www.badok.eus/euskal-musika/aitor-etxebarria
49,Aitor Regueiro,,1996,,['Kantautorea'],https://www.badok.eus/euskal-musika/aitor-regueiro
50,Aitor Rubio,,1970,Zornotza (Bizkaia),['Kantautorea'],https://www.badok.eus/euskal-musika/aitor-rubio
51,Aiumeen Basoa,,1994,,['Metala'],https://www.badok.eus/euskal-musika/aiumeen-basoa
52,Aixita  Pop Foundation,,,Irurtzun (Nafarroa),['Rocka'],https://www.badok.eus/euskal-musika/aixita-pop-foundation
53,Aizkorak Zorroztu,"Aizkorak Zorroztu taldeko hiru kideak beren musikan eragina izan duten bi korronteen berezko erritmo, soinu eta egiturekin inprobisatzen hasi ziren 2014ko udaberrian. Hain zuzen, minimalismoa eta afterpunkaren esperimentazioa eta grungeren izaera korrosiboa eta estutasuna izan dira taldearen eraginak.",2014,Bilbo,['Rocka'],https://www.badok.eus/euskal-musika/aizkorak-zorroztu
54,Akabu,,2016,Galdakao (Bizkaia),['Punk-rocka'],https://www.badok.eus/euskal-musika/akabu
55,Akaleia,,,,['Rocka'],https://www.badok.eus/euskal-musika/akaleia
56,Akatu,,2004 - 2012,Iruñea,['Metala'],https://www.badok.eus/euskal-musika/akatu
57,Akauzazte,"Azkoitiko Mataideixe gune autogestionatuan sortutako taldea da Akauzazte. Hainbat kide igaro dira taldetik (Oier Etxeberria, Baxi Ubeda
), baina Iker Arrazolak, Joxe Larrañagak eta Roge Astigarragak osatzen dute bizkarrezurra. Akauzazteren musikak primitibismoarekin, soinu industrialarekin eta inprobisazioarekin ditu loturak. Xabier Erkizia musikariaren hitzetan, “musika herrikoiaren itzaletan dantzan, rock musikarekin larrutan eta abangoardiari beldurrik gabe parez pare begiratuz” jarduten du Akauzaztek.",1992,Azkoitia (Gipuzkoa),"['Rocka', 'Esperimentala']",https://www.badok.eus/euskal-musika/akauzazte
58,Akelarre,,1972 - 2005,Soraluze (Gipuzkoa),"['Plaza', 'Rocka']",https://www.badok.eus/euskal-musika/akelarre
59,Aker Odol,,,Hondarribia (Gipuzkoa),"['Metala', 'Thrasha']",https://www.badok.eus/euskal-musika/aker-odol
60,Akoka,,,Miarritze (Lapurdi),['Pop-rocka'],https://www.badok.eus/euskal-musika/akoka
61,aKts,"Euskal Herriko soinu paisaia grabaketen, soinu elektronikoen eta zuzenean jotako instrumentuen nahasketa da aKts proiektua.",,,['Elektronikoa'],https://www.badok.eus/euskal-musika/akts
62,Alaitz eta Maider,,1989 - 2004,Oiartzun (Gipuzkoa),['Triki-popa'],https://www.badok.eus/euskal-musika/alaitz-eta-maider
63,Alarma Morea,,2019,Urretxu-Zumarraga (Gipuzkoa),"['Popa', 'Runba']",https://www.badok.eus/euskal-musika/alarma-morea
64,ALBA,,2017,Hazparne (Lapurdi),['Post-rocka'],https://www.badok.eus/euskal-musika/alba
65,Alberto Lizarralde,,,,['Esperimentala'],https://www.badok.eus/euskal-musika/alberto-lizarralde
66,Alboka,,1994,Hernani (Gipuzkoa),['Folka'],https://www.badok.eus/euskal-musika/alboka
67,Albosax,"Lau albokari, lau saxofoil jole eta erritmika sekzio baten ezohiko ezkontza da Albosax. Emaitza da soinu bat zeharo originala, paregabea. Musika tradizionala estilo ezberdin batzuekin nahasiz, albokak entzuten dira testuinguru berri, aberats eta bikain batean.",,Baiona,['Folka'],https://www.badok.eus/euskal-musika/albosax
68,Algoritmötik At,Zizurko punk-rock hirukote bat da Algoritmötik At.,2019,,"['Post-hardcorea', 'Punk-rocka']",https://www.badok.eus/euskal-musika/algoritmotik-at
69,Alos Quartet,,1999,Tolosa (Gipuzkoa),"['Folka', 'Klasikoa']",https://www.badok.eus/euskal-musika/alos-quartet
70,Alter Ego,,2014 - 2021,Urretxu-Zumarraga (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/alter-ego
71,Altxatu,"Ibai Osinagak, Julen Abaurreak eta Iker Arizek osatzen dute Altxatu. Oso talde gaztea da, 12-13 urte baitzituzten taldekideek elkarrekin jotzen hasi zirenean, 2011. urtean. 80ko hamarkadako punk-rock taldeak (Hertzainak, Kortatu, The Clash
) eta AEBeko hardcore melodikokoak (Rancid, Green Day
) dituzte erreferentzia Irunberriko hiru taldekideek. Hiru disko grabatu dituzte, eta une honetan taldea deseginda dago.",2011,Irunberri (Nafarroa),['Punk-rocka'],https://www.badok.eus/euskal-musika/altxatu
72,Altzükütarrak,,1979,Altzürükü (Zuberoa),"['Herri', 'kanta']",https://www.badok.eus/euskal-musika/altzukutarrak
73,Ama Say,,1991,,['Rocka'],https://www.badok.eus/euskal-musika/ama-say
74,Amaia Miranda,(Argazkia: Helena Goñi),1993,,['Folka'],https://www.badok.eus/euskal-musika/amaia-miranda
75,Amaia Riouspeyrous,,1984,Donapaleu (Nafarroa Beherea),['Pop-rocka'],https://www.badok.eus/euskal-musika/amaia-riouspeyrous
76,Amaia Zubiria,,1947,Zubieta (Gipuzkoa),"['Folka', 'Herri', 'kanta']",https://www.badok.eus/euskal-musika/amaia-zubiria
77,Amak,,2019,Gipuzkoa,"['Folka', 'Trikitia']",https://www.badok.eus/euskal-musika/amak
78,Amaren Alabak,,1999,,"['Folka', 'Herri', 'kanta']",https://www.badok.eus/euskal-musika/amaren-alabak
79,Ameba,,2019,Usurbil (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/ameba
80,Ameslariak,"Ameslariak taldea Bergaran sortu zen, Gipuzkoan, 1967. urtean. Jose Luis Mendia, Ramon Arbizu, Justo Idigoras, Javier Arbizu eta Iñaki Arriaran ziren taldeko abeslariak. Garaiko nazioarteko kantu arrakastatsuen euskarazko bertsioak egiten zituzten, Los Brincos eta Les Surfs taldeenak, esate baterako. Herrietako jaietan, dantzalekuetan eta antzeztokietan aritu ziren emanaldiak egiten.",1967 - 1969,Bergara (Gipuzkoa),['Popa'],https://www.badok.eus/euskal-musika/ameslariak
81,Amets,,1969 - 1981,Gasteiz,['Popa'],https://www.badok.eus/euskal-musika/amets
82,Amodio,"Javi Manterolak (Lisabö) eta Aurelien Rotureau frantziarrak osatu zuten Amodio. Bruselan elkar ezagutu zuten eta blues eta folk doinuen ikuspegi garaikidea lantzeko proiektua sortu zuten, soinu elektroakustikoaz jantziz herri musikaren sustraiak. Komunikazioaren aldeko melodia sakon eta hauskorrak bildu zituzten disko bakarrean.",2003,Irun (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/amodio
83,Amooma,"2018ko abenduan sortutako funk, rap, soul eta orokorrean musika beltzaren azpigeneroak nahasten dituen musika taldea da Amooma. Jatorri musikal ezberdineko zazpi lagunek osatzen dute proiektu hau eta honek, aniztasuna taldearen armarri bihurtzea erraztuz, kanta bakoitza arnas hartze fresko bat bihurtzen du.",2018,Bilbo,"['Soula', 'Funka']",https://www.badok.eus/euskal-musika/amooma
84,Amorante,"Amorante Iban Urizarren izen artistikoa da. Musikari lotuta egindako ibilbide guztiaren motxilatik ateratako barne mundua. Tradizioari traizio pixkat egitea zilegia dela mantentzen duen musikaria, tronpeta jolea eta kultura musikal ezberdinen maitale eta zalea. Musika ikasketa akademikoak ditu. Tronpeta bidelagun, hainbat proiektutan hartu du parte, hainbat musikariren diskoetan zein zuzenekoetan jo du. Musika tresnari lotuta egon den tradizioa kontutan edukita, herri musikatik abiatu eta ertzetatik mugitu den musikaria da. Musika herrikoiak eta akademikoak erro berdina dutela uste duen musikaria da Amorante.",1975,Elgoibar (Gipuzkoa),"['Herri', 'kanta', 'Popa']",https://www.badok.eus/euskal-musika/amorante
85,Anai,Thanks to Losers taldean aritutako Iban eta Gari dira Anai osatzen duten bi musikariak. Zazpi kantuz osaturiko disko batekin eman dute ezagutzera proiektu berria.,2017,Astigarraga (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/anai
86,Anai Arrebak,"Iñaki eta Marga Altolagirre anai-arrebak dira Pasai-Donibaneko talde honetako buruak, eta gainerako partaideen artean Jousilouli, Naiz Roxa eta Trigger Travis taldeetan aritutako musikariak daude, besteak beste. Dantzarako rock musika egiten du Anai Arrebak-ek, funk, techno eta punk ukituekin osatua.",2011,Pasaia (Gipuzkoa),"['Rocka', 'Elektronikoa']",https://www.badok.eus/euskal-musika/anai-arrebak
87,Anari,,1970,Azkoitia (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/anari
88,Ander Erzilla,,,Durango (Bizkaia),['Jazza'],https://www.badok.eus/euskal-musika/ander-erzilla
89,Ander Garcia,,1978,Barakaldo (Bizkaia),['Jazza'],https://www.badok.eus/euskal-musika/ander-garcia
90,Ander Unzaga,,1980,Leioa (Bizkaia),['Jazza'],https://www.badok.eus/euskal-musika/ander-unzaga
91,Andoni Arcilla Group,,1983,Iruñea,['Jazza'],https://www.badok.eus/euskal-musika/andoni-arcilla-group
92,Andoni Olaetxea eta Telmo Trenor,,2022,Donostia,['Elektronikoa'],https://www.badok.eus/euskal-musika/andoni-olaetxea-eta-telmo-trenor
93,Andrakan,"Iban Urizar musikariaren inguruan sortutako taldea da Andrakan. Musika inprobisatuaren alorrean aritu ohi da Urizar (Cafe Teatro, Mengele Quartet
), baina proiektu honetan folk eta pop-rock doinuetara jo zuen, Elgoibarko beste musikari batzuen laguntzaz. Horien artean, Jon Gurrutxaga zegoen (Arima Beltza, Jon & Sugramas, UEK
). Zazpi kantuz osaturiko disko bat baino ez du argitaratu Andrakanek. Urizarrek, aldiz, Amorante izeneko bakarkako proiektua sortu du.",2008,Elgoibar (Gipuzkoa),['Pop-rocka'],https://www.badok.eus/euskal-musika/andrakan
94,Aneguria,,1984,Bilbo,['Rapa'],https://www.badok.eus/euskal-musika/aneguria
95,Aneika Ara,"Bizkaieraz, “hamaika era” esan nahi du taldearen izenak. Halakoa baita, rockaren barruan, Zigor Iturbek (gitarra eta ahotsa), Argibel Eubak (bateria) eta Alex Lopezek (baxua) sortzen duten musika, ertz askotarikoa, tentsioduna, gihartsua, biluzia, apaingarririk gabekoa eta 90eko hamarkadako slowcore taldeen oroitarazlea zenbaitetan. Argibel Eubak Kepa Junkeraren zenbait diskotan hartu du parte.",2011,,['Rocka'],https://www.badok.eus/euskal-musika/aneika-ara
96,Anestesia,,1988,Zarautz (Gipuzkoa),"['Hardcorea', 'Thrasha']",https://www.badok.eus/euskal-musika/anestesia
97,"Angel Azkarraga ""Matxitxa""","Angel Azkarraga aitzindaria izan izen Euskal Herrian manager lanean. Bere ibilbide profesionala Itoiz taldeari estu lotuta egon bazen ere, Errobi, Ruper Ordorika, Hertzainak, Negu Gorriak, Su Ta Gar eta beste hainbat talde ordezkatu zituen Azkarragak berak sortutako Matxitxa kontratazio agentziaren bidez.",1956,Mutriku (Gipuzkoa),['[]'],https://www.badok.eus/euskal-musika/angel-azkarraga-matxitxa
98,Angel Katarain,"Musikaria, ekoizlea eta soinu teknikaria da Angel Gonzalez Katarain (Ordizia, Gipuzkoa, 1961). 80ko hamarkadaren hastapenetan egin zituen lehen urratsak diskoak grabatzeko lanean eta zuzeneko teknikari gisa. Geroztik, ehunka disko grabatu ditu eta lan harreman estua izan du hainbat talde eta bakarlarirekin: M-ak, Kortatu, Negu Gorriak, Ruper Ordorika, Fermin Muguruza
 Hainbat urtez IZ estudioan lan egin ondoren, 1996an, bere estudioa ireki zuen, Azkaraten (Nafarroa).",1961,Ordizia (Gipuzkoa),['Esperimentala'],https://www.badok.eus/euskal-musika/angel-katarain
99,Anger,,1997,Arrasate (Gipuzkoa),['Metala'],https://www.badok.eus/euskal-musika/anger
100,Anita Parker,,2017,Arrasate (Gipuzkoa),['Elektro-swinga'],https://www.badok.eus/euskal-musika/anita-parker
101,Anje Duhalde,,1950,Arrangoitze (Lapurdi),['Rocka'],https://www.badok.eus/euskal-musika/anje-duhalde
102,Ankenai,,,Donostia,['Popa'],https://www.badok.eus/euskal-musika/ankenai
103,Anker,,2019,Legazpi (Gipuzkoa),['Metala'],https://www.badok.eus/euskal-musika/anker
104,Ankhar,,2012,Zestoa (Gipuzkoa),"['Metala', 'Thrasha']",https://www.badok.eus/euskal-musika/ankhar
105,Anne Etxegoien,,1980,Donapaleu (Behe Nafarroa),"['Herri', 'kanta', 'Popa']",https://www.badok.eus/euskal-musika/anne-etxegoien
106,Anne Lukin,,2001,,['Pop-rocka'],https://www.badok.eus/euskal-musika/anne-lukin
107,Anonyme Popular,,2022,,"['Elektronikoa', 'Bertsoa']",https://www.badok.eus/euskal-musika/anonyme-popular
108,Ansorena & Senperena,"Joserra Senperena eta Piter Ansorena aspalditik aritu dira elkarrekin lan musikaletan. Euskal Telebistako ‘Funtzioa’ programan hasi ziren eta harrezkero bestelako egokiera desberdin ugarietan: telebista programak, pailazo hirukotearen diskoetan, zuzeneko saioetan 
 Hala ere, ez zuten inoiz Piter Ansorenaren lanbide eta zaletasun handiena den txistu-danbolinaren alorrean ezer egin.",,,['Folka'],https://www.badok.eus/euskal-musika/ansorena-senperena
109,Anticontinente,,2015,Iruñea,['Popa'],https://www.badok.eus/euskal-musika/anticontinente
110,Antihumano,,2014,Oñati (Gipuzkoa),"['Hardcorea', 'Punka']",https://www.badok.eus/euskal-musika/antihumano
111,Antton,"Elorrioko Lor taldearen errautsetatik sortu da Antton. Abeslariaren izena hartu badute ere, talde egitasmoa da. Antton Uriarte da taldeko kantaria eta berben egilea, Lor taldeko Lander Irazola gitarrista eta ahotsa, Rami Unzeta bateria jotzailea, Mikel Nuñez teklatu jotzailea eta Txaber San Pedro baxu jotzailea. Uriarteren ahots sakona Lor taldeko kide ohien rock astinduekin uztartuz, power pop doinuak gailentzen dira taldean.",2010,Elorrio (Bizkaia),['Pop-rocka'],https://www.badok.eus/euskal-musika/antton
112,Antton Aranburu,,1979,Busturia,['Pop-rocka'],https://www.badok.eus/euskal-musika/antton-aranburu
113,Antton Larrandaburu & Bitxiloreak,"Antton Larrandaburu Tumatx taldeko abeslaria izan da. Bitartean, Antton Araspin aspaldiko lagunarekin hasi zen kontzertuak ematen bikotean, baita hirukotean ere Adrien Coletekin (Tumatxeko bateria jotzailea). Arazo profesionalengatik, Adrienek proiektua utzi behar izan zuen, eta 2018an Antton Larrandaburu & Bitxiloreak folk-rock taldea sortu dute bi Anttonek, Benjamin Labaka (baxua) eta Miguel Etxeberri (bateria) lagunekin. Antton Larrandaburuk kantuak sortzen ditu, eta moldaketa guztiak elkarrekin egiten dituzte.",2018,Hazparne (Lapurdi),"['Folk-rocka', 'Popa', 'Rocka']",https://www.badok.eus/euskal-musika/antton-larrandaburu-bitxiloreak
114,Antton Valverde,,1943,Donostia,"['Herri', 'kanta']",https://www.badok.eus/euskal-musika/antton-valverde
115,Añube,,2020,"Bergara, Arrasate (Gipuzkoa)",['[]'],https://www.badok.eus/euskal-musika/anube
116,Apalatxe,"Aritz Irastortza da Apalatxe. 2014an hasi zen kontzertuak ematen, bakarka zein taldeaz lagunduta. Bi disko grabatu ditu, euskaraz eta gaztelaniaz abesturiko kantuez osatuak.",1986,Astigarraga (Gipuzkoa),['Kantautorea'],https://www.badok.eus/euskal-musika/apalatxe
117,Apurtu,,1989 - 2016,Irun (Gipuzkoa),['Punka'],https://www.badok.eus/euskal-musika/apurtu
118,Arakajun,,,Zarautz,"['Folka', 'Bluesa', 'Countrya']",https://www.badok.eus/euskal-musika/arakajun
119,Arean,"Borja Estankonak (ahotsa eta gitarra; Artea), Koldo de Miguelek (bateria; Basauri) eta Iñaki Garridok (baxua; Galdakao) osatu zuten Arean. Hirurak Iniezione talde instrumentalean aritu ziren aurretik, eta harekin landutako erritmoak eta intentsitateak gorde zituzten proiektu berrian. “Tentsioa probokatzea eta kantuak berak tentsio hori askatzea” bilatu zuen hirukoteak ondare gisa utzitako bi diskoetan. Ondoren, ildo beretik jarraitu du Estankonak bakarka grabaturiko diskoetan.",2004 - 2006,Bizkaia,['Rocka'],https://www.badok.eus/euskal-musika/arean
120,Arekan,,,Iruñerria,['Ska-rocka'],https://www.badok.eus/euskal-musika/arekan
121,Arene 6,,,Getxo (Bizkaia),['Punk-Oi!'],https://www.badok.eus/euskal-musika/arene-6
122,Aresi,,,,['Punk-Oi!'],https://www.badok.eus/euskal-musika/aresi
123,Argazki bat behelainoan,"Arkaitz Artola Arnaiz donostiarraren proiektua da Argazki Bat Behelainoan musika taldea. Aspaldi sorturiko sehaska kantuetan oinarrituta, ‘Lo’ izeneko lan berria aurkeztu du. Iraupen laburrekoa da, zortzi abesti ditu, eta egilearen hitzetan, “bilduma minimalista eta sedatzailea” da.",,Donostia,['[]'],https://www.badok.eus/euskal-musika/argazki-bat-behelainoan
124,Argoitia neba-arrebak,"1966tik 1976ra bitartean aritu ziren Andoni eta Irune Argoitia anai-arrebak kantari. Artean haurrak zirela hasi ziren abesten, Ondarroa jaioterrian (Bizkaia), baina Loiolako Herri Irratian grabatutako kantuak ezagutarazi ostean bazter guztietatik deika hasi zitzaizkien jaialdietako antolatzaileak. Euskal Herriko herri kantuak eta euskarara ekarritako modako kantuak abesten zituzten, ahotsa, gitarra eta bandurria lagun. Ehunka emanaldi egin zituzten eta zenbait disko arrakastatsu grabatu.",1966 - 1976,,['[]'],https://www.badok.eus/euskal-musika/argoitia-neba-arrebak
125,Arima,,2018,Muskiz (Bizkaia),['Rocka'],https://www.badok.eus/euskal-musika/arima
126,Arima Beltza,,1997 - 2006,Elgoibar (Gipuzkoa),"['Bluesa', 'Rock&rolla']",https://www.badok.eus/euskal-musika/arima-beltza
127,Arima Soul,"Lidia Insaustik (ahotsa) eta Mikel Makalak (baxua) sortutako soul musikako proiektua da Arima Soul. Geroago Paul San Martin (teklatuak) eta Hilario Rodeiro (bateria) gehitu ziren. 70eko hamarkadako rhythm & blues, soul, funk, groove eta jazz taldeen eragin argia du, baina estilo horietako korronte garaikideenari ere begira dago, hau da, neo-soul izenekoari.",2019,"Zarautz (Gipuzkoa), Donostia","['Jazza', 'Soula', 'Funka']",https://www.badok.eus/euskal-musika/arima-soul
128,Aritzak,,,,"['Herri', 'kanta']",https://www.badok.eus/euskal-musika/aritzak
129,Arkada Social,,1997,,['Punk-rocka'],https://www.badok.eus/euskal-musika/arkada-social
130,Arkaiko,,2014,Donostia,['Punk-rocka'],https://www.badok.eus/euskal-musika/arkaiko
131,Arkaitz Miner,,1976,Errenteria (Gipuzkoa),"['Folka', 'Herri', 'kanta']",https://www.badok.eus/euskal-musika/arkaitz-miner
132,Aro,,,Lasarte-Oria (Gipuzkoa),['[]'],https://www.badok.eus/euskal-musika/aro
133,Arrano Pertxa eta Lengu Iluna,Urko Gonzalez eta David Rodriguezek osatzen dute Arrano Pertxa eta Lengu Iluna rap bikotea. 80ko hamarkadan Estatu Batuetan egiten zen raparen soinua eta tematikari omenaldi xume bat egin nahi izan diote bere lehen diskoarekin.,2017,Bilbo,['Rapa'],https://www.badok.eus/euskal-musika/arrano-pertxa-eta-lengu-iluna
134,Arrotzak,,2015,Donostia,['Punk-rocka'],https://www.badok.eus/euskal-musika/arrotzak
135,Arrutiko Intxaurrak,,,Zarautz (Gipuzkoa),['[]'],https://www.badok.eus/euskal-musika/arrutiko-intxaurrak
136,Arthur's Toys,,,Tolosa (Gipuzkoa),['Popa'],https://www.badok.eus/euskal-musika/arthurs-toys
137,Artze anaiak,,,Usurbil (Gipuzkoa),"['Folka', 'Herri', 'kanta', 'Esperimentala']",https://www.badok.eus/euskal-musika/artze-anaiak
138,Asgarth,,1997,Donostia,['Metala'],https://www.badok.eus/euskal-musika/asgarth
139,Asier LI,Asier Lopez Iraola abeslari eta pianistaren izen artistikoa da Asier LI.,1979,Beasain (Gipuzkoa),['Esperimentala'],https://www.badok.eus/euskal-musika/asier-l-i
140,Asier Serrano,,1975,Eibar (Gipuzkoa),['Pop-rocka'],https://www.badok.eus/euskal-musika/asier-serrano
141,Askapen Sound Sistema,,1982,Gasteiz,['Rapa'],https://www.badok.eus/euskal-musika/askapen-sound-sistema
142,Askoren artean,"Orrialde honetan, kantu argitaragabeen bildumak, inoren omenez osatutako diskoak, hainbat egileren artean ondutako lanak eta beste aurkituko dituzu.",,,['[]'],https://www.badok.eus/euskal-musika/askoren-artean
143,Asla,"Asla 2016ko bukaeran Oier Aslak Etxebarrin (Bizkaia) sortutako taldea da. Urte batzuetan zehar bikote gisa jardun ostean, gaur egun bost musikariz osaturiko banda da: Gurutze Etxebarria (ahotsak), Danel Marin (bateria eta perkusioak), Asier Bardezi (baxua), Andres Tejo (gitarra) eta Oier Asla (ahotsak eta gitarra).",2016,,['Pop-rocka'],https://www.badok.eus/euskal-musika/asla
144,Assata,"Assata musika beltzaren eragina daukan Arrasateko taldea da. Funk, soul, pop, elektronika, rock, punk, rap
 bezalako adiera ezberdinak nahasten dira haren abestietan. Post-funk? Soul-punk? Zuriak beltzez.",2018,Arrasate (Gipuzkoa),"['Rocka', 'Funka']",https://www.badok.eus/euskal-musika/assata
